# Phase P02 verification log — 2026-08-21 13:16:03
## Build: make clean && make — 0 errors, 0 warnings (arm-none-eabi-gcc device + clang sim)

=== PlutoBrowser crash log ===
gamePath: unknown
[17:15:24 #1] PlutoBrowser boot (C port of CometBrowser)
[17:15:24 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[17:15:24 #3] [P02] util selftests begin
[17:15:24 #4] [P02] PASS mem.malloc
[17:15:24 #5] [P02] PASS mem.realloc_preserves
[17:15:24 #6] [P02] PASS mem.strdup
[17:15:24 #7] [P02] PASS mem.strndup
[17:15:24 #8] [P02] PASS mem.free_null
[17:15:24 #9] [P02] PASS strbuf.init
[17:15:24 #10] [P02] PASS strbuf.append_str
[17:15:24 #11] [P02] PASS strbuf.append_char
[17:15:24 #12] [P02] PASS strbuf.embedded_nul
[17:15:24 #13] [P02] PASS strbuf.clear_keeps_cap
[17:15:24 #14] [P02] PASS strbuf.printf
[17:15:24 #15] [P02] PASS strbuf.grow_500
[17:15:24 #16] [P02] PASS strbuf.detach
[17:15:24 #17] [P02] PASS strbuf.detach_resets
[17:15:24 #18] [P02] PASS strbuf.free_idempotent
[17:15:24 #19] [P02] PASS dynarray.init
[17:15:24 #20] [P02] PASS dynarray.push_100_grow
[17:15:24 #21] [P02] PASS dynarray.get_mid
[17:15:24 #22] [P02] PASS dynarray.last
[17:15:24 #23] [P02] PASS dynarray.pop
[17:15:24 #24] [P02] PASS dynarray.get_oob_null
[17:15:24 #25] [P02] PASS dynarray.free
[17:15:24 #26] [P02] PASS strmap.create
[17:15:24 #27] [P02] PASS strmap.put_get
[17:15:24 #28] [P02] PASS strmap.replace_value
[17:15:24 #29] [P02] PASS strmap.has_false
[17:15:24 #30] [P02] PASS strmap.get_missing_null
[17:15:24 #31] [P02] PASS strmap.200_keys_rehash
[17:15:24 #32] [P02] PASS strmap.get_after_rehash
[17:15:24 #33] [P02] PASS strmap.remove
[17:15:24 #34] [P02] PASS strmap.remove_twice_false
[17:15:24 #35] [P02] PASS strmap.survivor_intact
[17:15:24 #36] [P02] PASS strmap.foreach_null_fn_safe
[17:15:24 #37] [P02] PASS strmap.destroy
[17:15:24 #38] [P02] PASS lpat.trim_spaces
[17:15:24 #39] [P02] PASS lpat.trim_empty
[17:15:24 #40] [P02] PASS lpat.trim_only_spaces
[17:15:24 #41] [P02] PASS lpat.scheme_split
[17:15:24 #42] [P02] PASS lpat.scheme_no_match
[17:15:24 #43] [P02] PASS lpat.host_path_no_match_lua
[17:15:24 #44] [P02] PASS lpat.host_bare_no_match_lua
[17:15:24 #45] [P02] PASS lpat.host_reject_spaces
[17:15:24 #46] [P02] PASS lpat.host_trailing_qmark_lua
[17:15:24 #47] [P02] PASS lpat.attr_dquote_1
[17:15:24 #48] [P02] PASS lpat.attr_dquote_2
[17:15:24 #49] [P02] PASS lpat.attr_dquote_done
[17:15:24 #50] [P02] PASS lpat.attr_squote_1
[17:15:24 #51] [P02] PASS lpat.attr_squote_2
[17:15:24 #52] [P02] PASS lpat.attr_squote_done
[17:15:24 #53] [P02] PASS lpat.pathcmd_M
[17:15:24 #54] [P02] PASS lpat.pathcmd_L
[17:15:24 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[17:15:24 #56] [P02] PASS lpat.pathcmd_done
[17:15:24 #57] [P02] PASS lpat.entity_named_amp
[17:15:24 #58] [P02] PASS lpat.entity_named_lt
[17:15:24 #59] [P02] PASS lpat.entity_named_skips_dec
[17:15:24 #60] [P02] PASS lpat.entity_decimal
[17:15:24 #61] [P02] PASS lpat.entity_hex_lower_x
[17:15:24 #62] [P02] PASS lpat.entity_hex_upper_X
[17:15:24 #63] [P02] PASS lpat.entity_hex_done
[17:15:24 #64] [P02] PASS lpat.charset_utf8
[17:15:24 #65] [P02] PASS lpat.http_status
[17:15:24 #66] [P02] PASS lpat.meta_refresh_url_upper
[17:15:24 #67] [P02] PASS lpat.meta_refresh_frac
[17:15:24 #68] [P02] PASS lpat.viewbox_four_caps
[17:15:24 #69] [P02] PASS lpat.tag_div_attrs
[17:15:24 #70] [P02] PASS lpat.tag_br_selfclose
[17:15:24 #71] [P02] PASS lpat.tag_close_not_matched
[17:15:24 #72] [P02] PASS lpat.css_prop_lua_truth
[17:15:24 #73] [P02] PASS lpat.cookie_pair
[17:15:24 #74] [P02] PASS lpat.tokens_a
[17:15:24 #75] [P02] PASS lpat.tokens_bb
[17:15:24 #76] [P02] PASS lpat.tokens_ccc
[17:15:24 #77] [P02] PASS lpat.tokens_done
[17:15:24 #78] [P02] PASS lpat.lazy_dash
[17:15:24 #79] [P02] PASS lpat.greedy_star
[17:15:24 #80] [P02] PASS lpat.endpunct_true
[17:15:24 #81] [P02] PASS lpat.endpunct_false
[17:15:24 #82] [P02] PASS lpat.escape_dot
[17:15:24 #83] [P02] PASS lpat.escape_percent
[17:15:24 #84] [P02] PASS lpat.escape_dash_outside_set
[17:15:24 #85] [P02] PASS lpat.gsub_fn_hexdecode
[17:15:24 #86] [P02] PASS lpat.gsub_fn_encode
[17:15:24 #87] [P02] PASS lpat.find_init_offset
[17:15:24 #88] [P02] PASS lpat.find_plain
[17:15:24 #89] [P02] PASS lpat.find_plain_miss
[17:15:24 #90] [P02] PASS lpat.gsub_template_trim
[17:15:24 #91] [P02] PASS lpat.gsub_crlf
[17:15:24 #92] [P02] PASS lpat.gsub_count3
[17:15:24 #93] [P02] PASS lpat.gsub_empty_matches
[17:15:24 #94] [P02] PASS lpat.negclass_A
[17:15:24 #95] [P02] PASS lpat.negclass_done
[17:15:24 #96] [P02] PASS lpat.set_leading_bracket
[17:15:24 #97] [P02] PASS lpat.nul_subject_first
[17:15:24 #98] [P02] PASS lpat.nul_subject_second
[17:15:24 #99] [P02] PASS lpat.nul_subject_done
[17:15:24 #100] [P02] PASS lpat.position_capture
[17:15:24 #101] [P02] PASS lpat.balance
[17:15:24 #102] [P02] PASS lpat.frontier_THE
[17:15:24 #103] [P02] PASS lpat.frontier_quick
[17:15:24 #104] [P02] PASS lpat.frontier_fox
[17:15:24 #105] [P02] PASS lpat.frontier_done
[17:15:24 #106] [P02] PASS lpat.opt_without_u
[17:15:24 #107] [P02] PASS lpat.opt_with_u
[17:15:24 #108] [P02] PASS lpat.ip_anchor_ok
[17:15:24 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[17:15:24 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[17:15:24 #111] [P02] PASS lpat.malformed_set_err
[17:15:24 #112] [P02] PASS json.parse_fixture
[17:15:24 #113] [P02] PASS json.obj_string
[17:15:24 #114] [P02] PASS json.negative_int
[17:15:24 #115] [P02] PASS json.float
[17:15:24 #116] [P02] PASS json.exponent
[17:15:24 #117] [P02] PASS json.bool_true
[17:15:24 #118] [P02] PASS json.null_value
[17:15:24 #119] [P02] PASS json.absent_key
[17:15:24 #120] [P02] PASS json.arr_count
[17:15:24 #121] [P02] PASS json.arr_num
[17:15:24 #122] [P02] PASS json.arr_null_elem
[17:15:24 #123] [P02] PASS json.arr_nested_obj
[17:15:24 #124] [P02] PASS json.escapes_unicode_surrogate
[17:15:24 #125] [P02] PASS json.trailing_data_error
[17:15:24 #126] [P02] PASS json.bad_value_error
[17:15:24 #127] [P02] PASS json.unterminated_error
[17:15:24 #128] [P02] PASS json.roundtrip_parse
[17:15:24 #129] [P02] PASS json.roundtrip_stable
[17:15:24 #130] [P02] PASS json.roundtrip_arr_value
[17:15:24 #131] [P02] PASS json.roundtrip_nested_bool
[17:15:24 #132] [P02] PASS json.obj_set_replace
[17:15:24 #133] [P02] util selftests done: 128 passed, 0 failed
[17:15:24 #134] font loaded: fonts/Roobert-11-Medium
[17:15:24 #135] update callback registered
[17:15:24 #136] first frame rendered
[17:15:34 #137] heartbeat frame=300
[17:15:44 #138] heartbeat frame=600
[17:15:50 #139] terminate event, frames=794
