=== PlutoBrowser crash log ===
gamePath: unknown
[01:59:10 #1] PlutoBrowser boot (C port of CometBrowser)
[01:59:10 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[01:59:10 #3] [P02] util selftests begin
[01:59:10 #4] [P02] PASS mem.malloc
[01:59:10 #5] [P02] PASS mem.realloc_preserves
[01:59:10 #6] [P02] PASS mem.strdup
[01:59:10 #7] [P02] PASS mem.strndup
[01:59:10 #8] [P02] PASS mem.free_null
[01:59:10 #9] [P02] PASS strbuf.init
[01:59:10 #10] [P02] PASS strbuf.append_str
[01:59:10 #11] [P02] PASS strbuf.append_char
[01:59:10 #12] [P02] PASS strbuf.embedded_nul
[01:59:10 #13] [P02] PASS strbuf.clear_keeps_cap
[01:59:10 #14] [P02] PASS strbuf.printf
[01:59:10 #15] [P02] PASS strbuf.grow_500
[01:59:10 #16] [P02] PASS strbuf.detach
[01:59:10 #17] [P02] PASS strbuf.detach_resets
[01:59:10 #18] [P02] PASS strbuf.free_idempotent
[01:59:10 #19] [P02] PASS dynarray.init
[01:59:10 #20] [P02] PASS dynarray.push_100_grow
[01:59:10 #21] [P02] PASS dynarray.get_mid
[01:59:10 #22] [P02] PASS dynarray.last
[01:59:10 #23] [P02] PASS dynarray.pop
[01:59:10 #24] [P02] PASS dynarray.get_oob_null
[01:59:10 #25] [P02] PASS dynarray.free
[01:59:10 #26] [P02] PASS strmap.create
[01:59:10 #27] [P02] PASS strmap.put_get
[01:59:10 #28] [P02] PASS strmap.replace_value
[01:59:10 #29] [P02] PASS strmap.has_false
[01:59:10 #30] [P02] PASS strmap.get_missing_null
[01:59:10 #31] [P02] PASS strmap.200_keys_rehash
[01:59:10 #32] [P02] PASS strmap.get_after_rehash
[01:59:10 #33] [P02] PASS strmap.remove
[01:59:10 #34] [P02] PASS strmap.remove_twice_false
[01:59:10 #35] [P02] PASS strmap.survivor_intact
[01:59:10 #36] [P02] PASS strmap.foreach_null_fn_safe
[01:59:10 #37] [P02] PASS strmap.destroy
[01:59:10 #38] [P02] PASS lpat.trim_spaces
[01:59:10 #39] [P02] PASS lpat.trim_empty
[01:59:10 #40] [P02] PASS lpat.trim_only_spaces
[01:59:10 #41] [P02] PASS lpat.scheme_split
[01:59:10 #42] [P02] PASS lpat.scheme_no_match
[01:59:10 #43] [P02] PASS lpat.host_path_no_match_lua
[01:59:10 #44] [P02] PASS lpat.host_bare_no_match_lua
[01:59:10 #45] [P02] PASS lpat.host_reject_spaces
[01:59:10 #46] [P02] PASS lpat.host_trailing_qmark_lua
[01:59:10 #47] [P02] PASS lpat.attr_dquote_1
[01:59:10 #48] [P02] PASS lpat.attr_dquote_2
[01:59:10 #49] [P02] PASS lpat.attr_dquote_done
[01:59:10 #50] [P02] PASS lpat.attr_squote_1
[01:59:10 #51] [P02] PASS lpat.attr_squote_2
[01:59:10 #52] [P02] PASS lpat.attr_squote_done
[01:59:10 #53] [P02] PASS lpat.pathcmd_M
[01:59:10 #54] [P02] PASS lpat.pathcmd_L
[01:59:10 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[01:59:10 #56] [P02] PASS lpat.pathcmd_done
[01:59:10 #57] [P02] PASS lpat.entity_named_amp
[01:59:10 #58] [P02] PASS lpat.entity_named_lt
[01:59:10 #59] [P02] PASS lpat.entity_named_skips_dec
[01:59:10 #60] [P02] PASS lpat.entity_decimal
[01:59:10 #61] [P02] PASS lpat.entity_hex_lower_x
[01:59:10 #62] [P02] PASS lpat.entity_hex_upper_X
