=== PlutoBrowser crash log ===
gamePath: unknown
[20:01:21 #1] PlutoBrowser boot (C port of CometBrowser)
[20:01:21 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[20:01:21 #3] [P02] util selftests begin
[20:01:21 #4] [P02] PASS mem.malloc
[20:01:21 #5] [P02] PASS mem.realloc_preserves
[20:01:21 #6] [P02] PASS mem.strdup
[20:01:21 #7] [P02] PASS mem.strndup
[20:01:21 #8] [P02] PASS mem.free_null
[20:01:21 #9] [P02] PASS strbuf.init
[20:01:21 #10] [P02] PASS strbuf.append_str
[20:01:21 #11] [P02] PASS strbuf.append_char
[20:01:21 #12] [P02] PASS strbuf.embedded_nul
[20:01:21 #13] [P02] PASS strbuf.clear_keeps_cap
[20:01:21 #14] [P02] PASS strbuf.printf
[20:01:21 #15] [P02] PASS strbuf.grow_500
[20:01:21 #16] [P02] PASS strbuf.detach
[20:01:21 #17] [P02] PASS strbuf.detach_resets
[20:01:21 #18] [P02] PASS strbuf.free_idempotent
[20:01:21 #19] [P02] PASS dynarray.init
[20:01:21 #20] [P02] PASS dynarray.push_100_grow
[20:01:21 #21] [P02] PASS dynarray.get_mid
[20:01:21 #22] [P02] PASS dynarray.last
[20:01:21 #23] [P02] PASS dynarray.pop
[20:01:21 #24] [P02] PASS dynarray.get_oob_null
[20:01:21 #25] [P02] PASS dynarray.free
[20:01:21 #26] [P02] PASS strmap.create
[20:01:21 #27] [P02] PASS strmap.put_get
[20:01:21 #28] [P02] PASS strmap.replace_value
[20:01:21 #29] [P02] PASS strmap.has_false
[20:01:21 #30] [P02] PASS strmap.get_missing_null
[20:01:21 #31] [P02] PASS strmap.200_keys_rehash
[20:01:21 #32] [P02] PASS strmap.get_after_rehash
[20:01:21 #33] [P02] PASS strmap.remove
[20:01:21 #34] [P02] PASS strmap.remove_twice_false
[20:01:21 #35] [P02] PASS strmap.survivor_intact
[20:01:21 #36] [P02] PASS strmap.foreach_null_fn_safe
[20:01:21 #37] [P02] PASS strmap.destroy
[20:01:21 #38] [P02] PASS lpat.trim_spaces
[20:01:21 #39] [P02] PASS lpat.trim_empty
[20:01:21 #40] [P02] PASS lpat.trim_only_spaces
[20:01:21 #41] [P02] PASS lpat.scheme_split
[20:01:21 #42] [P02] PASS lpat.scheme_no_match
[20:01:21 #43] [P02] PASS lpat.host_path_no_match_lua
[20:01:21 #44] [P02] PASS lpat.host_bare_no_match_lua
[20:01:21 #45] [P02] PASS lpat.host_reject_spaces
[20:01:21 #46] [P02] PASS lpat.host_trailing_qmark_lua
[20:01:21 #47] [P02] PASS lpat.attr_dquote_1
[20:01:21 #48] [P02] PASS lpat.attr_dquote_2
[20:01:21 #49] [P02] PASS lpat.attr_dquote_done
[20:01:21 #50] [P02] PASS lpat.attr_squote_1
[20:01:21 #51] [P02] PASS lpat.attr_squote_2
[20:01:21 #52] [P02] PASS lpat.attr_squote_done
[20:01:21 #53] [P02] PASS lpat.pathcmd_M
[20:01:21 #54] [P02] PASS lpat.pathcmd_L
[20:01:21 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[20:01:21 #56] [P02] PASS lpat.pathcmd_done
[20:01:21 #57] [P02] PASS lpat.entity_named_amp
[20:01:21 #58] [P02] PASS lpat.entity_named_lt
[20:01:21 #59] [P02] PASS lpat.entity_named_skips_dec
[20:01:21 #60] [P02] PASS lpat.entity_decimal
[20:01:21 #61] [P02] PASS lpat.entity_hex_lower_x
[20:01:21 #62] [P02] PASS lpat.entity_hex_upper_X
[20:01:21 #63] [P02] PASS lpat.entity_hex_done
[20:01:21 #64] [P02] PASS lpat.charset_utf8
[20:01:21 #65] [P02] PASS lpat.http_status
[20:01:21 #66] [P02] PASS lpat.meta_refresh_url_upper
[20:01:21 #67] [P02] PASS lpat.meta_refresh_frac
[20:01:21 #68] [P02] PASS lpat.viewbox_four_caps
[20:01:21 #69] [P02] PASS lpat.tag_div_attrs
[20:01:21 #70] [P02] PASS lpat.tag_br_selfclose
[20:01:21 #71] [P02] PASS lpat.tag_close_not_matched
[20:01:21 #72] [P02] PASS lpat.css_prop_lua_truth
[20:01:21 #73] [P02] PASS lpat.cookie_pair
[20:01:21 #74] [P02] PASS lpat.tokens_a
[20:01:21 #75] [P02] PASS lpat.tokens_bb
[20:01:21 #76] [P02] PASS lpat.tokens_ccc
[20:01:21 #77] [P02] PASS lpat.tokens_done
[20:01:21 #78] [P02] PASS lpat.lazy_dash
[20:01:21 #79] [P02] PASS lpat.greedy_star
[20:01:21 #80] [P02] PASS lpat.endpunct_true
[20:01:21 #81] [P02] PASS lpat.endpunct_false
[20:01:21 #82] [P02] PASS lpat.escape_dot
[20:01:21 #83] [P02] PASS lpat.escape_percent
[20:01:21 #84] [P02] PASS lpat.escape_dash_outside_set
[20:01:21 #85] [P02] PASS lpat.gsub_fn_hexdecode
[20:01:21 #86] [P02] PASS lpat.gsub_fn_encode
[20:01:21 #87] [P02] PASS lpat.find_init_offset
[20:01:21 #88] [P02] PASS lpat.find_plain
[20:01:21 #89] [P02] PASS lpat.find_plain_miss
[20:01:21 #90] [P02] PASS lpat.gsub_template_trim
[20:01:21 #91] [P02] PASS lpat.gsub_crlf
[20:01:21 #92] [P02] PASS lpat.gsub_count3
[20:01:21 #93] [P02] PASS lpat.gsub_empty_matches
[20:01:21 #94] [P02] PASS lpat.negclass_A
[20:01:21 #95] [P02] PASS lpat.negclass_done
[20:01:21 #96] [P02] PASS lpat.set_leading_bracket
[20:01:21 #97] [P02] PASS lpat.nul_subject_first
[20:01:21 #98] [P02] PASS lpat.nul_subject_second
[20:01:21 #99] [P02] PASS lpat.nul_subject_done
[20:01:21 #100] [P02] PASS lpat.position_capture
[20:01:21 #101] [P02] PASS lpat.balance
[20:01:21 #102] [P02] PASS lpat.frontier_THE
[20:01:21 #103] [P02] PASS lpat.frontier_quick
[20:01:21 #104] [P02] PASS lpat.frontier_fox
[20:01:21 #105] [P02] PASS lpat.frontier_done
[20:01:21 #106] [P02] PASS lpat.opt_without_u
[20:01:21 #107] [P02] PASS lpat.opt_with_u
[20:01:21 #108] [P02] PASS lpat.ip_anchor_ok
[20:01:21 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[20:01:21 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[20:01:21 #111] [P02] PASS lpat.malformed_set_err
[20:01:21 #112] [P02] PASS json.parse_fixture
[20:01:21 #113] [P02] PASS json.obj_string
[20:01:21 #114] [P02] PASS json.negative_int
[20:01:21 #115] [P02] PASS json.float
[20:01:21 #116] [P02] PASS json.exponent
[20:01:21 #117] [P02] PASS json.bool_true
[20:01:21 #118] [P02] PASS json.null_value
[20:01:21 #119] [P02] PASS json.absent_key
[20:01:21 #120] [P02] PASS json.arr_count
[20:01:21 #121] [P02] PASS json.arr_num
[20:01:21 #122] [P02] PASS json.arr_null_elem
[20:01:21 #123] [P02] PASS json.arr_nested_obj
[20:01:21 #124] [P02] PASS json.escapes_unicode_surrogate
[20:01:21 #125] [P02] PASS json.trailing_data_error
[20:01:21 #126] [P02] PASS json.bad_value_error
[20:01:21 #127] [P02] PASS json.unterminated_error
[20:01:21 #128] [P02] PASS json.roundtrip_parse
[20:01:21 #129] [P02] PASS json.roundtrip_stable
[20:01:21 #130] [P02] PASS json.roundtrip_arr_value
[20:01:21 #131] [P02] PASS json.roundtrip_nested_bool
[20:01:21 #132] [P02] PASS json.obj_set_replace
[20:01:21 #133] [P02] util selftests done: 128 passed, 0 failed
[20:01:21 #134] [P03] url selftests begin
[20:01:21 #135] [P03] PASS url.parse.empty
[20:01:21 #136] [P03] PASS url.parse.https_host
[20:01:21 #137] [P03] PASS url.parse.full
[20:01:21 #138] [P03] PASS url.parse.no_scheme
[20:01:21 #139] [P03] PASS url.parse.empty_host
[20:01:21 #140] [P03] PASS url.parse.ftp_custom_port
[20:01:21 #141] [P03] PASS url.parse.userinfo_quirk
[20:01:21 #142] [P03] PASS url.parse.colon_empty_port
[20:01:21 #143] [P03] PASS url.parse.port_zero
[20:01:21 #144] [P03] PASS url.parse.spaces_trimmed
[20:01:21 #145] [P03] PASS url.parse.about_blank
[20:01:21 #146] [P03] PASS url.parse.about_home
[20:01:21 #147] [P03] PASS url.parse.case_fold
[20:01:21 #148] [P03] PASS url.parse.ip_host
[20:01:21 #149] [P03] PASS url.parse.raw_trimmed
[20:01:21 #150] [P03] PASS url.parse.junk_port_ignored
[20:01:21 #151] [P03] PASS enc.plain
[20:01:21 #152] [P03] PASS enc.specials
[20:01:21 #153] [P03] PASS enc.unreserved_kept
[20:01:21 #154] [P03] PASS enc.plus_encoded
[20:01:21 #155] [P03] PASS enc.utf8
[20:01:21 #156] [P03] PASS enc.percent_literal
[20:01:21 #157] [P03] PASS enc.newline_crlf
[20:01:21 #158] [P03] PASS enc.empty
[20:01:21 #159] [P03] PASS dec.plus_space
[20:01:21 #160] [P03] PASS dec.pct_utf8
[20:01:21 #161] [P03] PASS dec.mixed
