=== PlutoBrowser crash log ===
gamePath: unknown
[09:30:50 #1] PlutoBrowser boot (C port of CometBrowser)
[09:30:50 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[09:30:50 #3] [P02] util selftests begin
[09:30:50 #4] [P02] PASS mem.malloc
[09:30:50 #5] [P02] PASS mem.realloc_preserves
[09:30:50 #6] [P02] PASS mem.strdup
[09:30:50 #7] [P02] PASS mem.strndup
[09:30:50 #8] [P02] PASS mem.free_null
[09:30:50 #9] [P02] PASS strbuf.init
[09:30:50 #10] [P02] PASS strbuf.append_str
[09:30:50 #11] [P02] PASS strbuf.append_char
[09:30:50 #12] [P02] PASS strbuf.embedded_nul
[09:30:50 #13] [P02] PASS strbuf.clear_keeps_cap
[09:30:50 #14] [P02] PASS strbuf.printf
[09:30:50 #15] [P02] PASS strbuf.grow_500
[09:30:50 #16] [P02] PASS strbuf.detach
[09:30:50 #17] [P02] PASS strbuf.detach_resets
[09:30:50 #18] [P02] PASS strbuf.free_idempotent
[09:30:50 #19] [P02] PASS dynarray.init
[09:30:50 #20] [P02] PASS dynarray.push_100_grow
[09:30:50 #21] [P02] PASS dynarray.get_mid
[09:30:50 #22] [P02] PASS dynarray.last
[09:30:50 #23] [P02] PASS dynarray.pop
[09:30:50 #24] [P02] PASS dynarray.get_oob_null
[09:30:50 #25] [P02] PASS dynarray.free
[09:30:50 #26] [P02] PASS strmap.create
[09:30:50 #27] [P02] PASS strmap.put_get
[09:30:50 #28] [P02] PASS strmap.replace_value
[09:30:50 #29] [P02] PASS strmap.has_false
[09:30:50 #30] [P02] PASS strmap.get_missing_null
[09:30:50 #31] [P02] PASS strmap.200_keys_rehash
[09:30:50 #32] [P02] PASS strmap.get_after_rehash
[09:30:50 #33] [P02] PASS strmap.remove
[09:30:50 #34] [P02] PASS strmap.remove_twice_false
[09:30:50 #35] [P02] PASS strmap.survivor_intact
[09:30:50 #36] [P02] PASS strmap.foreach_null_fn_safe
[09:30:50 #37] [P02] PASS strmap.destroy
[09:30:50 #38] [P02] PASS lpat.trim_spaces
[09:30:50 #39] [P02] PASS lpat.trim_empty
[09:30:50 #40] [P02] PASS lpat.trim_only_spaces
[09:30:50 #41] [P02] PASS lpat.scheme_split
[09:30:50 #42] [P02] PASS lpat.scheme_no_match
[09:30:50 #43] [P02] PASS lpat.host_path_no_match_lua
[09:30:50 #44] [P02] PASS lpat.host_bare_no_match_lua
[09:30:50 #45] [P02] PASS lpat.host_reject_spaces
[09:30:50 #46] [P02] PASS lpat.host_trailing_qmark_lua
[09:30:50 #47] [P02] PASS lpat.attr_dquote_1
[09:30:50 #48] [P02] PASS lpat.attr_dquote_2
[09:30:50 #49] [P02] PASS lpat.attr_dquote_done
[09:30:50 #50] [P02] PASS lpat.attr_squote_1
[09:30:50 #51] [P02] PASS lpat.attr_squote_2
[09:30:50 #52] [P02] PASS lpat.attr_squote_done
[09:30:50 #53] [P02] PASS lpat.pathcmd_M
[09:30:50 #54] [P02] PASS lpat.pathcmd_L
[09:30:50 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[09:30:50 #56] [P02] PASS lpat.pathcmd_done
[09:30:50 #57] [P02] PASS lpat.entity_named_amp
[09:30:50 #58] [P02] PASS lpat.entity_named_lt
[09:30:50 #59] [P02] PASS lpat.entity_named_skips_dec
[09:30:50 #60] [P02] PASS lpat.entity_decimal
[09:30:50 #61] [P02] PASS lpat.entity_hex_lower_x
[09:30:50 #62] [P02] PASS lpat.entity_hex_upper_X
[09:30:50 #63] [P02] PASS lpat.entity_hex_done
[09:30:50 #64] [P02] PASS lpat.charset_utf8
[09:30:50 #65] [P02] PASS lpat.http_status
[09:30:50 #66] [P02] PASS lpat.meta_refresh_url_upper
[09:30:50 #67] [P02] PASS lpat.meta_refresh_frac
[09:30:50 #68] [P02] PASS lpat.viewbox_four_caps
[09:30:50 #69] [P02] PASS lpat.tag_div_attrs
[09:30:50 #70] [P02] PASS lpat.tag_br_selfclose
[09:30:50 #71] [P02] PASS lpat.tag_close_not_matched
[09:30:50 #72] [P02] PASS lpat.css_prop_lua_truth
[09:30:50 #73] [P02] PASS lpat.cookie_pair
[09:30:50 #74] [P02] PASS lpat.tokens_a
[09:30:50 #75] [P02] PASS lpat.tokens_bb
[09:30:50 #76] [P02] PASS lpat.tokens_ccc
[09:30:50 #77] [P02] PASS lpat.tokens_done
[09:30:50 #78] [P02] PASS lpat.lazy_dash
[09:30:50 #79] [P02] PASS lpat.greedy_star
[09:30:50 #80] [P02] PASS lpat.endpunct_true
[09:30:50 #81] [P02] PASS lpat.endpunct_false
[09:30:50 #82] [P02] PASS lpat.escape_dot
[09:30:50 #83] [P02] PASS lpat.escape_percent
[09:30:50 #84] [P02] PASS lpat.escape_dash_outside_set
[09:30:50 #85] [P02] PASS lpat.gsub_fn_hexdecode
[09:30:50 #86] [P02] PASS lpat.gsub_fn_encode
[09:30:50 #87] [P02] PASS lpat.find_init_offset
[09:30:50 #88] [P02] PASS lpat.find_plain
[09:30:50 #89] [P02] PASS lpat.find_plain_miss
[09:30:50 #90] [P02] PASS lpat.gsub_template_trim
[09:30:50 #91] [P02] PASS lpat.gsub_crlf
[09:30:50 #92] [P02] PASS lpat.gsub_count3
[09:30:50 #93] [P02] PASS lpat.gsub_empty_matches
[09:30:50 #94] [P02] PASS lpat.negclass_A
[09:30:50 #95] [P02] PASS lpat.negclass_done
[09:30:50 #96] [P02] PASS lpat.set_leading_bracket
[09:30:50 #97] [P02] PASS lpat.nul_subject_first
[09:30:50 #98] [P02] PASS lpat.nul_subject_second
[09:30:50 #99] [P02] PASS lpat.nul_subject_done
[09:30:50 #100] [P02] PASS lpat.position_capture
[09:30:50 #101] [P02] PASS lpat.balance
[09:30:50 #102] [P02] PASS lpat.frontier_THE
[09:30:50 #103] [P02] PASS lpat.frontier_quick
[09:30:50 #104] [P02] PASS lpat.frontier_fox
[09:30:50 #105] [P02] PASS lpat.frontier_done
[09:30:50 #106] [P02] PASS lpat.opt_without_u
[09:30:50 #107] [P02] PASS lpat.opt_with_u
[09:30:50 #108] [P02] PASS lpat.ip_anchor_ok
[09:30:50 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[09:30:50 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[09:30:50 #111] [P02] PASS lpat.malformed_set_err
[09:30:50 #112] [P02] PASS json.parse_fixture
[09:30:50 #113] [P02] PASS json.obj_string
[09:30:50 #114] [P02] PASS json.negative_int
[09:30:50 #115] [P02] PASS json.float
[09:30:50 #116] [P02] PASS json.exponent
[09:30:50 #117] [P02] PASS json.bool_true
[09:30:50 #118] [P02] PASS json.null_value
[09:30:50 #119] [P02] PASS json.absent_key
[09:30:50 #120] [P02] PASS json.arr_count
[09:30:50 #121] [P02] PASS json.arr_num
[09:30:50 #122] [P02] PASS json.arr_null_elem
[09:30:50 #123] [P02] PASS json.arr_nested_obj
[09:30:50 #124] [P02] PASS json.escapes_unicode_surrogate
[09:30:50 #125] [P02] PASS json.trailing_data_error
[09:30:50 #126] [P02] PASS json.bad_value_error
[09:30:50 #127] [P02] PASS json.unterminated_error
[09:30:50 #128] [P02] PASS json.roundtrip_parse
[09:30:50 #129] [P02] PASS json.roundtrip_stable
[09:30:50 #130] [P02] PASS json.roundtrip_arr_value
[09:30:50 #131] [P02] PASS json.roundtrip_nested_bool
[09:30:50 #132] [P02] PASS json.obj_set_replace
[09:30:50 #133] [P02] util selftests done: 128 passed, 0 failed
[09:30:50 #134] [P03] url selftests begin
[09:30:50 #135] [P03] PASS url.parse.empty
[09:30:50 #136] [P03] PASS url.parse.https_host
[09:30:50 #137] [P03] PASS url.parse.full
[09:30:50 #138] [P03] PASS url.parse.no_scheme
[09:30:50 #139] [P03] PASS url.parse.empty_host
[09:30:50 #140] [P03] PASS url.parse.ftp_custom_port
[09:30:50 #141] [P03] PASS url.parse.userinfo_quirk
[09:30:50 #142] [P03] PASS url.parse.colon_empty_port
[09:30:50 #143] [P03] PASS url.parse.port_zero
[09:30:50 #144] [P03] PASS url.parse.spaces_trimmed
[09:30:50 #145] [P03] PASS url.parse.about_blank
[09:30:50 #146] [P03] PASS url.parse.about_home
[09:30:50 #147] [P03] PASS url.parse.case_fold
[09:30:50 #148] [P03] PASS url.parse.ip_host
[09:30:50 #149] [P03] PASS url.parse.raw_trimmed
[09:30:50 #150] [P03] PASS url.parse.junk_port_ignored
[09:30:50 #151] [P03] PASS enc.plain
[09:30:50 #152] [P03] PASS enc.specials
[09:30:50 #153] [P03] PASS enc.unreserved_kept
[09:30:50 #154] [P03] PASS enc.plus_encoded
[09:30:50 #155] [P03] PASS enc.utf8
[09:30:50 #156] [P03] PASS enc.percent_literal
[09:30:50 #157] [P03] PASS enc.newline_crlf
[09:30:50 #158] [P03] PASS enc.empty
[09:30:50 #159] [P03] PASS dec.plus_space
[09:30:50 #160] [P03] PASS dec.pct_utf8
[09:30:50 #161] [P03] PASS dec.mixed
[09:30:50 #162] [P03] PASS dec.invalid_pct_kept
[09:30:50 #163] [P03] PASS dec.truncated_pct_kept
[09:30:50 #164] [P03] PASS dec.empty
[09:30:50 #165] [P03] PASS url.roundtrip
[09:30:50 #166] [P03] PASS isq.null_false
[09:30:50 #167] [P03] PASS isq.empty_false
[09:30:50 #168] [P03] PASS isq.spaces_query
[09:30:50 #169] [P03] PASS isq.dot_url
[09:30:50 #170] [P03] PASS isq.bare_word_query
[09:30:50 #171] [P03] PASS isq.leading_dot_query
[09:30:50 #172] [P03] PASS isq.trailing_dot_query
[09:30:50 #173] [P03] PASS isq.ip_url
[09:30:50 #174] [P03] PASS isq.localhost_url
[09:30:50 #175] [P03] PASS isq.localhost_suffix_url
[09:30:50 #176] [P03] PASS isq.https_url
[09:30:50 #177] [P03] PASS isq.about_url
[09:30:50 #178] [P03] PASS isq.file_url
[09:30:50 #179] [P03] PASS isq.spaces_only_is_query
[09:30:50 #180] [P03] PASS isq.upper_scheme_via_dot_rule
[09:30:50 #181] [P03] PASS isq.trimmed_before_dot_rule
[09:30:50 #182] [P03] PASS unwrap.ddg_uddg
[09:30:50 #183] [P03] PASS unwrap.non_ddg_false
[09:30:50 #184] [P03] PASS wrap.missing_uddg_false
[09:30:50 #185] [P03] PASS resolve.same_dir
[09:30:50 #186] [P03] PASS resolve.subdir
[09:30:50 #187] [P03] PASS resolve.root_rel
[09:30:50 #188] [P03] PASS resolve.protocol_relative
[09:30:50 #189] [P03] PASS resolve.anchor
[09:30:50 #190] [P03] PASS resolve.query_only
[09:30:50 #191] [P03] PASS resolve.custom_port_base
[09:30:50 #192] [P03] PASS resolve.anchor_keeps_query
[09:30:50 #193] [P03] PASS resolve.query_replaces
[09:30:50 #194] [P03] PASS resolve.dot_slash
[09:30:50 #195] [P03] PASS resolve.dotdot
[09:30:50 #196] [P03] PASS resolve.dotdot_clamped_root
[09:30:50 #197] [P03] PASS resolve.deep_beyond_root_dropped
[09:30:50 #198] [P03] PASS resolve.about_passthrough
[09:30:50 #199] [P03] PASS resolve.data_passthrough
[09:30:50 #200] [P03] PASS resolve.js_passthrough
[09:30:50 #201] [P03] PASS resolve.absolute_verbatim_case
[09:30:50 #202] [P03] PASS resolve.mailto_not_special
[09:30:50 #203] [P03] PASS resolve.empty_returns_base
[09:30:50 #204] [P03] PASS searchurl.ddg
[09:30:50 #205] [P03] url selftests done: 70 passed, 0 failed
[09:30:50 #206] [P04] storage+cookiejar selftests begin
[09:30:50 #207] [P04] PASS ts.epoch1970
[09:30:50 #208] [P04] PASS ts.bttf2015
[09:30:50 #209] [P04] PASS ts.leap2000feb29
[09:30:50 #210] [P04] PASS ts.neg1969
[09:30:50 #211] [P04] PASS ts.clamp_month0
[09:30:50 #212] [P04] PASS ts.clamp_month13
[09:30:50 #213] [P04] PASS ts.clamp_year_neg
[09:30:50 #214] [P04] PASS ts.clamp_day0
[09:30:50 #215] [P04] PASS ts.floor_frac
[09:30:50 #216] [P04] PASS ts.frac_hour
[09:30:50 #217] [P04] PASS ts.nil_hms_zeroed
[09:30:50 #218] [P04] PASS date.imf_fixdate
[09:30:50 #219] [P04] PASS date.rfc850_4digit
[09:30:50 #220] [P04] PASS date.rfc850_2digit
[09:30:50 #221] [P04] PASS date.rfc850_pivot69
[09:30:50 #222] [P04] PASS date.asctime_dblspace_nil
[09:30:50 #223] [P04] PASS date.asctime_single_space
[09:30:50 #224] [P04] PASS date.lowercase_month_nil
[09:30:50 #225] [P04] PASS date.garbage_nil
[09:30:50 #226] [P04] PASS date.trailing_junk_ok
[09:30:50 #227] [P04] PASS date.no_weekday_nil
[09:30:50 #228] [P04] PASS date.empty_nil
[09:30:50 #229] [P04] PASS sc01.basic
[09:30:50 #230] [P04] PASS sc02.attrs
[09:30:50 #231] [P04] PASS sc03.domain_dot
[09:30:50 #232] [P04] PASS sc04.domain_exact
[09:30:50 #233] [P04] PASS sc05.domain_suffix
[09:30:50 #234] [P04] PASS sc06.domain_localhost
[09:30:50 #235] [P04] PASS sc07.domain_foreign_reject
[09:30:50 #236] [P04] PASS sc08.domain_undotted_reject
[09:30:50 #237] [P04] PASS sc09.path_noslash
[09:30:50 #238] [P04] PASS sc10.samesite_lax
[09:30:50 #239] [P04] PASS sc11.samesite_weird_ignored
[09:30:50 #240] [P04] PASS sc12.maxage_future
[09:30:50 #241] [P04] PASS sc13.maxage_zero_del
[09:30:50 #242] [P04] PASS sc14.maxage_negative_del
[09:30:50 #243] [P04] PASS sc15.maxage_junk_ignored
[09:30:50 #244] [P04] PASS sc16.expires_imf
[09:30:50 #245] [P04] PASS sc17.expires_asctime
[09:30:50 #246] [P04] PASS sc18.expires_garbage_ignored
[09:30:50 #247] [P04] PASS sc19.expires_then_maxage_wins
[09:30:50 #248] [P04] PASS sc20.maxage_then_expires_skipped
[09:30:50 #249] [P04] PASS rej.space_in_pair
[09:30:50 #250] [P04] PASS rej.bad_name
[09:30:50 #251] [P04] PASS rej.no_name
