=== PlutoBrowser crash log ===
gamePath: unknown
[17:49:22 #1] PlutoBrowser boot (C port of CometBrowser)
[17:49:22 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[17:49:22 #3] [P02] util selftests begin
[17:49:22 #4] [P02] PASS mem.malloc
[17:49:22 #5] [P02] PASS mem.realloc_preserves
[17:49:22 #6] [P02] PASS mem.strdup
[17:49:22 #7] [P02] PASS mem.strndup
[17:49:22 #8] [P02] PASS mem.free_null
[17:49:22 #9] [P02] PASS strbuf.init
[17:49:22 #10] [P02] PASS strbuf.append_str
[17:49:22 #11] [P02] PASS strbuf.append_char
[17:49:22 #12] [P02] PASS strbuf.embedded_nul
[17:49:22 #13] [P02] PASS strbuf.clear_keeps_cap
[17:49:22 #14] [P02] PASS strbuf.printf
[17:49:22 #15] [P02] PASS strbuf.grow_500
[17:49:22 #16] [P02] PASS strbuf.detach
[17:49:22 #17] [P02] PASS strbuf.detach_resets
[17:49:22 #18] [P02] PASS strbuf.free_idempotent
[17:49:22 #19] [P02] PASS dynarray.init
[17:49:22 #20] [P02] PASS dynarray.push_100_grow
[17:49:22 #21] [P02] PASS dynarray.get_mid
[17:49:22 #22] [P02] PASS dynarray.last
[17:49:22 #23] [P02] PASS dynarray.pop
[17:49:22 #24] [P02] PASS dynarray.get_oob_null
[17:49:22 #25] [P02] PASS dynarray.free
[17:49:22 #26] [P02] PASS strmap.create
[17:49:22 #27] [P02] PASS strmap.put_get
[17:49:22 #28] [P02] PASS strmap.replace_value
[17:49:22 #29] [P02] PASS strmap.has_false
[17:49:22 #30] [P02] PASS strmap.get_missing_null
[17:49:22 #31] [P02] PASS strmap.200_keys_rehash
[17:49:22 #32] [P02] PASS strmap.get_after_rehash
[17:49:22 #33] [P02] PASS strmap.remove
[17:49:22 #34] [P02] PASS strmap.remove_twice_false
[17:49:22 #35] [P02] PASS strmap.survivor_intact
[17:49:22 #36] [P02] PASS strmap.foreach_null_fn_safe
[17:49:22 #37] [P02] PASS strmap.destroy
[17:49:22 #38] [P02] PASS lpat.trim_spaces
[17:49:22 #39] [P02] PASS lpat.trim_empty
[17:49:22 #40] [P02] PASS lpat.trim_only_spaces
[17:49:22 #41] [P02] PASS lpat.scheme_split
[17:49:22 #42] [P02] PASS lpat.scheme_no_match
[17:49:22 #43] [P02] PASS lpat.host_path_no_match_lua
[17:49:22 #44] [P02] PASS lpat.host_bare_no_match_lua
[17:49:22 #45] [P02] PASS lpat.host_reject_spaces
[17:49:22 #46] [P02] PASS lpat.host_trailing_qmark_lua
[17:49:22 #47] [P02] PASS lpat.attr_dquote_1
[17:49:22 #48] [P02] PASS lpat.attr_dquote_2
[17:49:22 #49] [P02] PASS lpat.attr_dquote_done
[17:49:22 #50] [P02] PASS lpat.attr_squote_1
[17:49:22 #51] [P02] PASS lpat.attr_squote_2
[17:49:22 #52] [P02] PASS lpat.attr_squote_done
[17:49:22 #53] [P02] PASS lpat.pathcmd_M
[17:49:22 #54] [P02] PASS lpat.pathcmd_L
[17:49:22 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[17:49:22 #56] [P02] PASS lpat.pathcmd_done
[17:49:22 #57] [P02] PASS lpat.entity_named_amp
[17:49:22 #58] [P02] PASS lpat.entity_named_lt
[17:49:22 #59] [P02] PASS lpat.entity_named_skips_dec
[17:49:22 #60] [P02] PASS lpat.entity_decimal
[17:49:22 #61] [P02] PASS lpat.entity_hex_lower_x
[17:49:22 #62] [P02] PASS lpat.entity_hex_upper_X
[17:49:22 #63] [P02] PASS lpat.entity_hex_done
[17:49:22 #64] [P02] PASS lpat.charset_utf8
[17:49:22 #65] [P02] PASS lpat.http_status
[17:49:22 #66] [P02] PASS lpat.meta_refresh_url_upper
[17:49:22 #67] [P02] PASS lpat.meta_refresh_frac
[17:49:22 #68] [P02] PASS lpat.viewbox_four_caps
[17:49:22 #69] [P02] PASS lpat.tag_div_attrs
[17:49:22 #70] [P02] PASS lpat.tag_br_selfclose
[17:49:22 #71] [P02] PASS lpat.tag_close_not_matched
[17:49:22 #72] [P02] PASS lpat.css_prop_lua_truth
[17:49:22 #73] [P02] PASS lpat.cookie_pair
[17:49:22 #74] [P02] PASS lpat.tokens_a
[17:49:22 #75] [P02] PASS lpat.tokens_bb
[17:49:22 #76] [P02] PASS lpat.tokens_ccc
[17:49:22 #77] [P02] PASS lpat.tokens_done
[17:49:22 #78] [P02] PASS lpat.lazy_dash
[17:49:22 #79] [P02] PASS lpat.greedy_star
[17:49:22 #80] [P02] PASS lpat.endpunct_true
[17:49:22 #81] [P02] PASS lpat.endpunct_false
[17:49:22 #82] [P02] PASS lpat.escape_dot
[17:49:22 #83] [P02] PASS lpat.escape_percent
[17:49:22 #84] [P02] PASS lpat.escape_dash_outside_set
[17:49:22 #85] [P02] PASS lpat.gsub_fn_hexdecode
[17:49:22 #86] [P02] PASS lpat.gsub_fn_encode
[17:49:22 #87] [P02] PASS lpat.find_init_offset
[17:49:22 #88] [P02] PASS lpat.find_plain
[17:49:22 #89] [P02] PASS lpat.find_plain_miss
[17:49:22 #90] [P02] PASS lpat.gsub_template_trim
[17:49:22 #91] [P02] PASS lpat.gsub_crlf
[17:49:22 #92] [P02] PASS lpat.gsub_count3
[17:49:22 #93] [P02] PASS lpat.gsub_empty_matches
[17:49:22 #94] [P02] PASS lpat.negclass_A
[17:49:22 #95] [P02] PASS lpat.negclass_done
[17:49:22 #96] [P02] PASS lpat.set_leading_bracket
[17:49:22 #97] [P02] PASS lpat.nul_subject_first
[17:49:22 #98] [P02] PASS lpat.nul_subject_second
[17:49:22 #99] [P02] PASS lpat.nul_subject_done
[17:49:22 #100] [P02] PASS lpat.position_capture
[17:49:22 #101] [P02] PASS lpat.balance
[17:49:22 #102] [P02] PASS lpat.frontier_THE
[17:49:22 #103] [P02] PASS lpat.frontier_quick
[17:49:22 #104] [P02] PASS lpat.frontier_fox
[17:49:22 #105] [P02] PASS lpat.frontier_done
[17:49:22 #106] [P02] PASS lpat.opt_without_u
[17:49:22 #107] [P02] PASS lpat.opt_with_u
[17:49:22 #108] [P02] PASS lpat.ip_anchor_ok
[17:49:22 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[17:49:22 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[17:49:22 #111] [P02] PASS lpat.malformed_set_err
[17:49:22 #112] [P02] PASS json.parse_fixture
[17:49:22 #113] [P02] PASS json.obj_string
[17:49:22 #114] [P02] PASS json.negative_int
[17:49:22 #115] [P02] PASS json.float
[17:49:22 #116] [P02] PASS json.exponent
[17:49:22 #117] [P02] PASS json.bool_true
[17:49:22 #118] [P02] PASS json.null_value
[17:49:22 #119] [P02] PASS json.absent_key
[17:49:22 #120] [P02] PASS json.arr_count
[17:49:22 #121] [P02] PASS json.arr_num
[17:49:22 #122] [P02] PASS json.arr_null_elem
[17:49:22 #123] [P02] PASS json.arr_nested_obj
[17:49:22 #124] [P02] PASS json.escapes_unicode_surrogate
[17:49:22 #125] [P02] PASS json.trailing_data_error
[17:49:22 #126] [P02] PASS json.bad_value_error
[17:49:22 #127] [P02] PASS json.unterminated_error
[17:49:22 #128] [P02] PASS json.roundtrip_parse
[17:49:22 #129] [P02] PASS json.roundtrip_stable
[17:49:22 #130] [P02] PASS json.roundtrip_arr_value
[17:49:22 #131] [P02] PASS json.roundtrip_nested_bool
[17:49:22 #132] [P02] PASS json.obj_set_replace
[17:49:22 #133] [P02] util selftests done: 128 passed, 0 failed
[17:49:22 #134] [P03] url selftests begin
[17:49:22 #135] [P03] PASS url.parse.empty
[17:49:22 #136] [P03] PASS url.parse.https_host
[17:49:22 #137] [P03] PASS url.parse.full
[17:49:22 #138] [P03] PASS url.parse.no_scheme
